(1, 0, 0, 0)
(3, -2, -2, 0)
(3, -2, 2, 0)
(3, 0, -2, -2)
(3, 0, 2, -2)
(3, 2, -2, 0)
(3, 2, 2, 0)
(5, -2, -4, -2)
(5, -2, 4, -2)
(5, 2, -4, -2)
(5, 2, 4, -2)
(9, -8, -4, 0)
(9, -8, 4, 0)
(9, -4, -8, 0)
(9, -4, 8, 0)
(9, 0, -4, -8)
(9, 0, 4, -8)
(9, 4, -8, 0)
(9, 4, 8, 0)
(9, 8, -4, 0)
(9, 8, 4, 0)
(11, -4, -10, -2)
(11, -4, 10, -2)
(11, 4, -10, -2)
(11, 4, 10, -2)
(13, -10, -8, -2)
(13, -10, 8, -2)
(13, -2, -8, -10)
(13, -2, 8, -10)
(13, 2, -8, -10)
(13, 2, 8, -10)
(13, 10, -8, -2)
(13, 10, 8, -2)
(17, -12, -12, 0)
(17, -12, 12, 0)
(17, 12, -12, 0)
(17, 12, 12, 0)
(19, -18, 6, 0)
(19, -16, -10, -2)
(19, -16, 10, -2)
(19, -10, -14, -8)
(19, -10, 14, -8)
(19, -8, -14, -10)
(19, -8, 14, -10)
(19, -6, -18, 0)
(19, -6, 18, 0)
(19, -2, -10, -16)
(19, -2, 10, -16)
(19, 0, -6, -18)
(19, 0, 6, -18)
(19, 2, -10, -16)
(19, 2, 10, -16)
(19, 6, -18, 0)
(19, 6, 18, 0)
(19, 8, -14, -10)
(19, 8, 14, -10)
(19, 10, -14, -8)
(19, 10, 14, -8)
(19, 16, -10, -2)
(19, 16, 10, -2)
(19, 18, 6, 0)
(21, -6, -20, -2)
(21, -6, 20, -2)
(21, 6, -20, -2)
(21, 6, 20, -2)
(27, -20, -18, -2)
(27, -20, 18, -2)
(27, -12, -22, -10)
(27, -12, 22, -10)
(27, 12, -22, -10)
(27, 12, 22, -10)
(27, 20, -18, -2)
(27, 20, 18, -2)
(33, -16, -24, -16)
(33, -16, 24, -16)
(33, -8, 32, 0)
(33, 0, -8, -32)
(33, 0, 8, -32)
(33, 8, 32, 0)
(33, 16, -24, -16)
(33, 16, 24, -16)
(35, -32, -14, -2)
(35, -32, 14, -2)
(35, -30, -18, 0)
(35, -30, 18, 0)
(35, -26, -22, -8)
(35, -26, 22, -8)
(35, -18, -30, 0)
(35, -18, 30, 0)
(35, -8, -34, -2)
(35, -8, -22, -26)
(35, -8, 22, -26)
(35, -8, 34, -2)
(35, -2, -14, -32)
(35, -2, 14, -32)
(35, 2, -14, -32)
(35, 2, 14, -32)
(35, 8, -34, -2)
(35, 8, -22, -26)
(35, 8, 22, -26)
(35, 8, 34, -2)
(35, 18, -30, 0)
(35, 18, 30, 0)
(35, 26, -22, -8)
(35, 26, 22, -8)
(35, 30, -18, 0)
(35, 30, 18, 0)
(35, 32, -14, -2)
(35, 32, 14, -2)
(41, -20, -32, -16)
(41, -20, 32, -16)
(41, 20, -32, -16)
(41, 20, 32, -16)
(43, -20, -38, -2)
(43, -20, 38, -2)
(43, -4, -26, -34)
(43, -4, 26, -34)
(43, 4, -26, -34)
(43, 4, 26, -34)
(43, 20, -38, -2)
(43, 20, 38, -2)
(45, -38, 24, -2)
(45, -26, -32, -18)
(45, -26, 32, -18)
(45, -18, 40, -10)
(45, -2, -16, -42)
(45, -2, 16, -42)
(45, 2, -16, -42)
(45, 2, 16, -42)
(45, 18, 40, -10)
(45, 26, -32, -18)
(45, 26, 32, -18)
(45, 38, 24, -2)
(49, -20, -44, -8)
(49, -20, 44, -8)
(49, -4, -28, -40)
(49, -4, 28, -40)
(49, 4, -28, -40)
(49, 4, 28, -40)
(49, 20, -44, -8)
(49, 20, 44, -8)
(51, -46, 22, 0)
(51, -40, -30, -10)
(51, -40, 30, -10)
(51, -38, -34, 0)
(51, -38, 34, 0)
(51, -34, 38, 0)
(51, -22, -46, 0)
(51, -22, 46, 0)
(51, -10, -30, -40)
(51, -10, 30, -40)
(51, -10, 50, 0)
(51, 0, -10, -50)
(51, 0, 10, -50)
(51, 10, -30, -40)
(51, 10, 30, -40)
(51, 10, 50, 0)
(51, 22, -46, 0)
(51, 22, 46, 0)
(51, 34, 38, 0)
(51, 38, -34, 0)
(51, 38, 34, 0)
(51, 40, -30, -10)
(51, 40, 30, -10)
(51, 46, 22, 0)
(59, -44, -38, -10)
(59, -44, 38, -10)
(59, 44, -38, -10)
(59, 44, 38, -10)
(61, -46, 40, -2)
(61, -22, 56, -10)
(61, 22, 56, -10)
(61, 46, 40, -2)
(65, -56, 32, -8)
(65, -8, 32, -56)
(65, 8, 32, -56)
(65, 56, 32, -8)
(69, -50, 44, -18)
(69, -34, 60, -2)
(69, -30, 52, -34)
(69, -10, -36, -58)
(69, -10, 36, -58)
(69, -2, 20, -66)
(69, 2, 20, -66)
(69, 10, -36, -58)
(69, 10, 36, -58)
(69, 30, 52, -34)
(69, 34, 60, -2)
(69, 50, 44, -18)
(73, -56, 44, -16)
(73, -40, 52, -32)
(73, -32, 52, -40)
(73, -16, 44, -56)
(73, 16, 44, -56)
(73, 32, 52, -40)
(73, 40, 52, -32)
(73, 56, 44, -16)
(75, -52, -54, -2)
(75, -52, 54, -2)
(75, -12, -46, -58)
(75, -12, 46, -58)
(75, 12, -46, -58)
(75, 12, 46, -58)
(75, 52, -54, -2)
(75, 52, 54, -2)
(81, -60, 52, -16)
(81, -44, 60, -32)
(81, 44, 60, -32)
(81, 60, 52, -16)
(83, -50, -58, -32)
(83, -50, 58, -32)
(83, -38, -62, -40)
(83, -38, 62, -40)
(83, -34, -74, -16)
(83, -34, 74, -16)
(83, -2, -22, -80)
(83, -2, 22, -80)
(83, 2, -22, -80)
(83, 2, 22, -80)
(83, 34, -74, -16)
(83, 34, 74, -16)
(83, 38, -62, -40)
(83, 38, 62, -40)
(83, 50, -58, -32)
(83, 50, 58, -32)
(85, -38, 68, -34)
(85, -38, 76, -2)
(85, 38, 68, -34)
(85, 38, 76, -2)
(91, -76, 50, -2)
(91, -28, 86, -10)
(91, 28, 86, -10)
(91, 76, 50, -2)
(93, -30, 88, -2)
(93, -6, 56, -74)
(93, 6, 56, -74)
(93, 30, 88, -2)
(99, -70, 70, 0)
(99, -56, -70, -42)
(99, -56, 70, -42)
(99, -46, -78, -40)
(99, -46, 78, -40)
(99, -42, 70, -56)
(99, -38, -90, -16)
(99, -38, 90, -16)
(99, -30, -94, -8)
(99, -30, 94, -8)
(99, -6, -58, -80)
(99, -6, 58, -80)
(99, 6, -58, -80)
(99, 6, 58, -80)
(99, 30, -94, -8)
(99, 30, 94, -8)
(99, 38, -90, -16)
(99, 38, 90, -16)
(99, 42, 70, -56)
(99, 46, -78, -40)
(99, 46, 78, -40)
(99, 56, -70, -42)
(99, 56, 70, -42)
(99, 70, 70, 0)
(105, -76, 72, -8)
(105, -12, 56, -88)
(105, 12, 56, -88)
(105, 76, 72, -8)
(107, -60, -78, -42)
(107, -60, 78, -42)
(107, 60, -78, -42)
(107, 60, 78, -42)
(113, -52, 92, -40)
(113, -52, 100, -8)
(113, -20, 68, -88)
(113, -4, 44, -104)
(113, 4, 44, -104)
(113, 20, 68, -88)
(113, 52, 92, -40)
(113, 52, 100, -8)
(115, -98, 58, -16)
(115, -88, 74, -2)
(115, -82, 74, -32)
(115, -58, 82, -56)
(115, -56, -82, -58)
(115, -56, 82, -58)
(115, -32, 110, -10)
(115, -16, -58, -98)
(115, -16, 58, -98)
(115, -2, 26, -112)
(115, 2, 26, -112)
(115, 16, -58, -98)
(115, 16, 58, -98)
(115, 32, 110, -10)
(115, 56, -82, -58)
(115, 56, 82, -58)
(115, 58, 82, -56)
(115, 82, 74, -32)
(115, 88, 74, -2)
(115, 98, 58, -16)
(123, -52, -110, -18)
(123, -52, 110, -18)
(123, -4, -46, -114)
(123, -4, 46, -114)
(123, 4, -46, -114)
(123, 4, 46, -114)
(123, 52, -110, -18)
(123, 52, 110, -18)
(133, -26, 76, -106)
(133, -10, 52, -122)
(133, 10, 52, -122)
(133, 26, 76, -106)
(147, -128, 70, -18)
(147, -126, 74, -16)
(147, -74, 114, -56)
(147, -8, 50, -138)
(147, 8, 50, -138)
(147, 74, 114, -56)
(147, 126, 74, -16)
(147, 128, 70, -18)
(155, -76, -122, -58)
(155, -76, 122, -58)
(155, -68, 118, -74)
(155, -52, 146, -2)
(155, -20, -82, -130)
(155, -20, 82, -130)
(155, 20, -82, -130)
(155, 20, 82, -130)
(155, 52, 146, -2)
(155, 68, 118, -74)
(155, 76, -122, -58)
(155, 76, 122, -58)
(163, -120, 102, -42)
(163, -96, 114, -66)
(163, -80, 142, -2)
(163, -74, 134, -56)
(163, -70, 118, -88)
(163, -64, 146, -34)
(163, -40, 158, -2)
(163, -26, -86, -136)
(163, -26, 86, -136)
(163, -10, -58, -152)
(163, -10, 58, -152)
(163, -8, 98, -130)
(163, 8, 98, -130)
(163, 10, -58, -152)
(163, 10, 58, -152)
(163, 26, -86, -136)
(163, 26, 86, -136)
(163, 40, 158, -2)
(163, 64, 146, -34)
(163, 70, 118, -88)
(163, 74, 134, -56)
(163, 80, 142, -2)
(163, 96, 114, -66)
(163, 120, 102, -42)
(171, -124, 110, -42)
(171, -100, 122, -66)
(171, 100, 122, -66)
(171, 124, 110, -42)
(179, -130, 122, -16)
(179, -86, 130, -88)
(179, -80, 142, -74)
(179, -74, 158, -40)
(179, -56, 170, -2)
(179, -38, 110, -136)
(179, 38, 110, -136)
(179, 56, 170, -2)
(179, 74, 158, -40)
(179, 80, 142, -74)
(179, 86, 130, -88)
(179, 130, 122, -16)
(195, -166, 102, -8)
(195, -150, 118, -40)
(195, -88, 138, -106)
(195, -88, 174, -2)
(195, -82, 174, -32)
(195, -72, 178, -34)
(195, -18, 110, -160)
(195, -16, 78, -178)
(195, 16, 78, -178)
(195, 18, 110, -160)
(195, 72, 178, -34)
(195, 82, 174, -32)
(195, 88, 138, -106)
(195, 88, 174, -2)
